統計期,總生產量,一般垃圾量,資源垃圾量,廚餘量,平均每人每日一般廢棄物產生量
113年 12月,985470,379165,562979,43326,1.358
113年 11月,999975,391841,564558,43576,1.424
113年 10月,989407,382319,564610,42479,1.364
113年 9月,971888,379650,550010,42229,1.384
113年 8月,1039006,420357,575154,43494,1.432
113年 7月,1005672,424513,538721,42438,1.386
113年 6月,971452,408459,520596,42397,1.383
113年 5月,985275,409481,532889,42905,1.357
113年 4月,980512,403803,533880,42829,1.396
113年 3月,955318,385272,530113,39933,1.316
113年 2月,961735,429960,492078,39698,1.416
113年 1月,994253,413293,540959,40002,1.369
113年,11839965,4828113,6506546,505306,1.382
112年 12月,958494,388441,529881,40172,1.32
112年 11月,941470,368129,534448,38893,1.34
112年 10月,967343,397143,530766,39434,1.333
112年 9月,969208,387088,543357,38763,1.381
112年 8月,1012335,420853,550918,40564,1.396
112年 7月,1001017,417776,541286,41955,1.381
112年 6月,991891,420202,529188,42501,1.415
112年 5月,1019606,434884,543210,41512,1.408
112年 4月,905871,386841,479947,39083,1.294
112年 3月,956399,393635,523370,39393,1.323
112年 2月,881112,365557,479143,36413,1.35
112年 1月,974797,446495,488208,40094,1.351
112年,11579543,4827044,6273722,478777,1.359
111年 12月,942920,400175,503093,39651,1.308
111年 11月,923937,375509,507648,40781,1.326
111年 10月,928293,385122,501734,41437,1.29
111年 9月,928387,396183,490189,42015,1.334
111年 8月,970059,417799,509454,42806,1.349
111年 7月,949635,406343,500814,42478,1.321
111年 6月,951323,411935,497696,41692,1.367
111年 5月,950026,403385,505447,41194,1.321
111年 4月,926212,389303,496607,40302,1.328
111年 3月,935735,401632,493777,40326,1.296
111年 2月,841117,361912,443066,36139,1.287
111年 1月,991008,450127,500827,40054,1.368
111年,11238654,4799426,5950352,488876,1.32
110年 12月,856515,310716,506871,38928,1.182
110年 11月,835074,305653,490818,38603,1.189
110年 10月,808347,310586,459466,38296,1.113
110年 9月,837897,321191,478602,38105,1.191
110年 8月,874808,332531,503915,38362,1.203
110年 7月,858462,345450,471600,41412,1.179
110年 6月,836316,329940,466385,39991,1.187
110年 5月,846108,330183,472192,43733,1.161
110年 4月,813002,314650,454543,43808,1.152
110年 3月,854080,318031,492074,43974,1.171
110年 2月,788973,330413,417793,40767,1.197
110年 1月,839480,345808,452609,41063,1.15
110年,10049062,3895153,5666869,487041,1.173
109年 12月,946151,337282,566694,42175,1.295
109年 11月,778779,317725,419927,41127,1.102
109年 10月,818674,327809,445799,45066,1.121
109年 9月,796977,317443,434715,44819,1.127
109年 8月,822181,341554,435514,45113,1.125
109年 7月,876071,343408,486721,45943,1.198
109年 6月,816265,352189,417591,46485,1.154
109年 5月,801690,344824,411339,45527,1.096
109年 4月,777439,323815,410769,42855,1.098
109年 3月,815855,337937,432940,44979,1.115
109年 2月,778444,330110,406340,41993,1.137
109年 1月,841148,387934,409730,43484,1.15
109年,9869675,4062029,5278079,529567,1.144
108年 12月,841537,361138,439130,41269,1.15
108年 11月,810826,338084,432659,40082,1.145
108年 10月,813199,345208,427062,40929,1.112
108年 9月,822744,353605,430562,38577,1.162
108年 8月,942172,382120,519794,40258,1.288
108年 7月,840738,378917,421336,40484,1.15
108年 6月,784763,350180,394246,40337,1.109
108年 5月,817248,360558,415957,40733,1.118
108年 4月,783675,350601,392598,40476,1.107
108年 3月,779654,352847,382221,44586,1.066
108年 2月,747702,350360,353858,43484,1.132
108年 1月,828162,367237,414094,46830,1.132
108年,9812418,4290856,5023517,498045,1.139
107年 12月,964101,371246,542299,50555,1.319
107年 11月,793513,347704,395836,49973,1.122
107年 10月,824800,357699,416237,50864,1.128
107年 9月,764842,349842,367614,47387,1.081
107年 8月,865240,365759,451962,47519,1.184
107年 7月,834327,367743,415647,50936,1.142
107年 6月,800191,367726,379095,53371,1.131
107年 5月,795479,348118,394323,53039,1.089
107年 4月,731484,325532,357601,48351,1.034
107年 3月,797735,362660,384739,50337,1.092
107年 2月,765099,370283,349264,45553,1.159
107年 1月,803859,383029,373723,47108,1.1
107年,9740671,4317339,4828340,594992,1.132
106年 12月,682260,286629,353160,42470,0.934
106年 11月,712302,278653,391056,42592,1.008
106年 10月,692664,298643,350350,43671,0.948
106年 9月,643563,244735,351262,47565,0.911
106年 8月,659207,249080,363303,46824,0.903
106年 7月,648014,254046,346959,47009,0.887
106年 6月,665001,262754,353564,48682,0.941
106年 5月,638240,246211,343969,48060,0.874
106年 4月,611451,233790,331314,46347,0.866
106年 3月,660131,254349,360469,45313,0.904
106年 2月,601363,248026,307381,45956,0.912
106年 1月,656703,273818,336042,46843,0.9
106年,7870896,3130735,4188829,551332,0.915
105年 12月,654434,257142,350479,46813,0.897
105年 11月,616299,238818,333422,44059,0.873
105年 10月,635758,256490,333123,46145,0.872
105年 9月,642511,270439,324607,47466,0.911
105年 8月,640307,262713,330290,47305,0.878
105年 7月,621549,262560,310791,48198,0.853
105年 6月,628950,265750,313563,49637,0.892
105年 5月,611476,248428,314259,48789,0.839
105年 4月,584620,247707,288289,48624,0.829
105年 3月,617286,266310,301457,49520,0.847
105年 2月,591701,280682,262087,48933,0.868
105年 1月,616449,276545,289461,50444,0.846
105年,7461342,3133582,3751828,575932,0.867
104年 12月,606125,266050,288112,51964,0.832
104年 11月,582709,254298,281031,47380,0.827
104年 10月,598855,257866,290171,50818,0.823
104年 9月,587552,257391,282282,47879,0.835
104年 8月,642090,298859,292410,50821,0.883
104年 7月,620198,277104,289986,53108,0.853
104年 6月,611326,278782,278841,53703,0.869
104年 5月,588164,258077,277483,52604,0.809
104年 4月,582441,257573,274384,50485,0.828
104年 3月,616255,275876,288227,52152,0.848
104年 2月,587208,280655,258723,47830,0.895
104年 1月,606367,273858,281545,50964,0.835
104年,7229290,3236389,3383195,609706,0.844
103年 12月,620859,272273,290931,57654,0.855
103年 11月,569058,238639,274007,56412,0.81
103年 10月,607449,262685,286830,57933,0.837
103年 9月,621172,274695,287062,59416,0.885
103年 8月,621297,279004,282974,59319,0.856
103年 7月,641095,287822,292303,60970,0.884
103年 6月,620332,283501,276205,60625,0.884
103年 5月,619557,273107,284916,61535,0.855
103年 4月,598134,262616,275754,59764,0.853
103年 3月,606147,270898,274257,60993,0.836
103年 2月,582868,260524,261584,60760,0.89
103年 1月,661470,306905,289573,64992,0.913
103年,7369439,3272669,3376397,720373,0.863
102年 12月,599185,265853,270257,63075,0.827
102年 11月,583401,247974,272326,63101,0.832
102年 10月,606793,261776,281614,63403,0.838
102年 9月,593204,264704,266561,61939,0.847
102年 8月,624524,280721,276286,67517,0.863
102年 7月,643080,293645,280479,68956,0.889
102年 6月,610220,276364,265721,68135,0.871
102年 5月,613277,272732,270090,70454,0.848
102年 4月,613496,280324,264783,68389,0.876
102年 3月,615703,274752,272674,68278,0.851
102年 2月,595593,287614,242945,65033,0.912
102年 1月,634218,293691,273594,66933,0.877
102年,7332694,3300151,3237330,795213,0.861
101年 12月,611852,275466,266931,69456,0.847
101年 11月,605045,263989,270162,70894,0.866
101年 10月,613300,268316,273344,71640,0.85
101年 9月,595516,261704,265347,68466,0.853
101年 8月,626361,288494,267656,70211,0.868
101年 7月,620990,285611,263877,71502,0.861
101年 6月,640348,298391,269589,72368,0.918
101年 5月,624899,282837,270737,71326,0.867
101年 4月,595741,275304,252748,67688,0.854
101年 3月,625523,287445,269645,68433,0.868
101年 2月,581227,262593,253548,65086,0.863
101年 1月,663145,329240,266435,67470,0.921
101年,7403948,3379390,3190018,834541,0.869
100年 12月,633650,296353,272009,65288,0.88
100年 11月,596078,270115,259656,66306,0.856
100年 10月,621275,288294,265413,67568,0.864
100年 9月,627089,298189,262550,66350,0.901
100年 8月,645523,305925,269298,70300,0.898
100年 7月,640912,309601,260811,70499,0.892
100年 6月,644114,307443,265897,70774,0.926
100年 5月,645598,305836,269215,70548,0.899
100年 4月,621122,289336,264815,66971,0.894
100年 3月,630674,302931,261922,65822,0.878
100年 2月,579427,296920,218724,63782,0.893
100年 1月,669127,339905,262232,66990,0.932
100年,7554589,3610848,3132541,811199,0.892
